iter	Passed	Remaining
0	105	105693
1	107	53597
2	109	36492
3	112	28120
4	114	22698
5	117	19415
6	119	17005
7	121	15080
8	123	13550
9	125	12379
10	125	11326
11	126	10428
12	128	9747
13	128	9080
14	130	8545
15	131	8103
16	133	7712
17	134	7364
18	136	7035
19	137	6739
20	139	6503
21	140	6259
22	141	6021
23	142	5798
24	143	5597
25	144	5411
26	145	5242
27	146	5079
28	147	4927
29	147	4780
30	148	4647
31	149	4520
32	150	4404
33	151	4296
34	151	4186
35	152	4083
36	153	3985
37	153	3892
38	154	3802
39	155	3721
40	155	3641
41	156	3568
42	157	3495
43	157	3424
44	158	3358
45	158	3292
46	159	3228
47	159	3168
48	160	3110
49	160	3053
50	161	2999
51	161	2948
52	162	2901
53	162	2852
54	163	2806
55	163	2761
56	164	2718
57	164	2676
58	165	2636
59	165	2596
60	166	2557
61	166	2522
62	167	2486
63	167	2451
64	168	2419
65	168	2388
66	169	2356
67	169	2323
68	170	2293
69	170	2265
70	171	2237
71	171	2210
72	171	2182
73	172	2156
74	172	2131
75	173	2106
76	173	2082
77	174	2059
78	174	2039
79	175	2018
80	176	1997
81	176	1976
82	177	1957
83	177	1937
84	177	1915
85	178	1896
86	178	1875
87	179	1857
88	179	1839
89	180	1821
90	180	1804
91	181	1789
92	181	1773
93	182	1757
94	182	1742
95	183	1726
96	183	1710
97	184	1695
98	184	1681
99	185	1667
100	185	1653
101	185	1637
102	186	1623
103	187	1611
104	187	1598
105	188	1586
106	188	1573
107	188	1560
108	189	1549
109	189	1537
110	190	1524
111	190	1513
112	191	1501
113	191	1490
114	192	1479
115	192	1467
116	193	1456
117	193	1446
118	194	1437
119	194	1427
120	195	1418
121	195	1409
122	196	1397
123	196	1388
124	196	1378
125	197	1369
126	197	1360
127	198	1349
128	198	1340
129	199	1332
130	199	1323
131	200	1315
132	200	1307
133	201	1299
134	201	1291
135	201	1283
136	202	1275
137	202	1267
138	203	1259
139	203	1252
140	204	1244
141	204	1237
142	205	1231
143	206	1224
144	206	1218
145	207	1211
146	207	1204
147	208	1197
148	208	1190
149	208	1184
150	209	1177
151	209	1170
152	210	1163
153	210	1157
154	211	1150
155	211	1144
156	212	1138
157	212	1133
158	213	1128
159	213	1122
160	214	1116
161	214	1111
162	215	1105
163	215	1099
164	216	1093
165	216	1088
166	217	1082
167	217	1077
168	217	1071
169	218	1067
170	219	1061
171	219	1056
172	219	1051
173	220	1046
174	220	1041
175	221	1037
176	222	1032
177	222	1027
178	222	1022
179	223	1017
180	223	1011
181	223	1006
182	224	1002
183	225	998
184	225	994
185	226	990
186	226	986
187	227	981
188	227	977
189	228	973
190	228	968
191	229	964
192	229	959
193	229	955
194	230	951
195	231	950
196	232	946
197	232	942
198	233	938
199	233	934
200	234	930
201	234	926
202	234	922
203	235	918
204	235	914
205	236	910
206	236	907
207	237	904
208	237	900
209	238	896
210	238	893
211	239	890
212	240	886
213	240	883
214	241	880
215	241	876
216	241	872
217	242	869
218	242	865
219	243	862
220	243	859
221	244	856
222	244	852
223	245	849
224	245	846
225	246	842
226	246	839
227	246	836
228	247	832
229	247	829
230	248	826
231	248	823
232	249	820
233	249	817
234	250	814
235	250	811
236	251	809
237	251	806
238	252	803
239	252	800
240	253	797
241	253	794
242	254	792
243	254	789
244	255	786
245	255	783
246	256	781
247	256	778
248	257	775
249	257	773
250	258	770
251	258	768
252	259	765
253	259	762
254	260	760
255	260	758
256	261	756
257	262	753
258	263	752
259	263	750
260	264	747
261	264	745
262	265	742
263	265	740
264	265	737
265	266	734
266	266	732
267	267	729
268	267	727
269	268	724
270	268	722
271	269	720
272	269	718
273	270	715
274	270	713
275	270	710
276	271	708
277	271	705
278	272	703
279	272	701
280	273	699
281	273	697
282	274	694
283	274	693
284	275	690
285	275	688
286	276	686
287	276	684
288	277	682
289	278	681
290	278	679
291	279	677
292	279	675
293	280	673
294	281	671
295	281	669
296	282	667
297	282	665
298	283	664
299	283	662
300	284	659
301	284	657
302	285	655
303	285	653
304	285	651
305	286	649
306	286	647
307	287	645
308	287	643
309	288	641
310	288	639
311	289	637
312	289	635
313	290	633
314	290	631
315	291	629
316	291	628
317	292	626
318	292	624
319	292	622
320	293	620
321	294	619
322	294	617
323	295	615
324	295	614
325	296	612
326	296	610
327	296	608
328	297	606
329	297	604
330	298	602
331	298	601
332	299	599
333	299	597
334	300	596
335	301	595
336	302	594
337	302	592
338	303	591
339	303	589
340	304	587
341	304	586
342	305	584
343	305	582
344	306	581
345	306	579
346	307	578
347	307	576
348	308	575
349	308	573
350	309	571
351	309	569
352	310	568
353	310	566
354	310	565
355	311	563
356	311	561
357	312	560
358	313	559
359	314	558
360	314	556
361	314	555
362	315	553
363	315	552
364	316	550
365	316	548
366	317	547
367	317	545
368	318	544
369	318	542
370	319	541
371	319	539
372	320	538
373	320	536
374	321	535
375	321	533
376	322	532
377	322	530
378	322	529
379	323	527
380	323	526
381	324	524
382	324	523
383	325	522
384	326	521
385	326	519
386	327	518
387	327	516
388	328	515
389	328	513
390	328	512
391	329	510
392	329	509
393	330	507
